ward,year,item,location,cost,category
1,2024,Alley Apron Menu,1383 N WOLCOTT AVE,157172.86,Alleys
1,2024,Alley Apron Menu,2619 N WASHTENAW AVE,69430.67,Alleys
1,2024,Alley Resurfacing Menu,1402 N WESTERN AVE; N WESTERN AVE &  W HIRSCH ST&W LE MOYNE ST &  N ARTESIAN AVE,37991.0,Alleys
1,2024,Arterial Street Bump Outs Menu,N WESTERN AVE &  W BLOOMINGDALE AVE,23508.74,Pedestrian Infrastructure
1,2024,Curb & Gutter Menu,1415 N WOOD ST,43169.06,Street Resurfacing
1,2024,Curb & Gutter Menu,2002 N STAVE ST; 2540 W ARMITAGE AVE; W ARMITAGE AVE &  N STAVE ST,51408.61,Street Resurfacing
1,2024,Goethe Elementary School - New Playspace and Field,2236 N ROCKWELL ST,100000.0,Schools
1,2024,Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.,N CALIFORNIA AVE &  W ARMITAGE AVE,19957.74,Pedestrian Infrastructure
1,2024,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,W ARMITAGE AVE &  N KEDZIE AVE,16987.88,Pedestrian Infrastructure
1,2024,Miscellaneous Other Projects,1425 N DAMEN AVE,175000.0,Misc.
1,2024,Park 399 Upgrades - 1420 N Artesian,1420 N ARTESIAN AVE,100000.0,Parks
1,2024,Sidewalk Menu,1347 N GREENVIEW AVE,11062.3,Sidewalk Repair
1,2024,Sidewalk Menu,1601-1699 W SUPERIOR ST,70098.09,Sidewalk Repair
1,2024,Speed Indicator Signs,2634 W LOGAN BLVD; 2909 W LOGAN BLVD,24000.0,Traffic Signals
1,2024,Street Bump Outs Menu,N CALIFORNIA AVE &  W CORTLAND ST,20463.11,Pedestrian Infrastructure
1,2024,Street Light Upgrade Menu,1502 N DAMEN AVE; 1530 N DAMEN AVE; 1542 N DAMEN AVE,1500.0,Lighting
1,2024,Street Resurfacing Menu,ON N BELL AVE FROM W LE MOYNE ST  (1500 N) TO W NORTH AVE  (1600 N); 1501-1599 N BELL AVE,41337.7,Street Resurfacing
1,2024,Street Resurfacing Menu,ON N WOOD ST FROM 1325 N TO W DIVISION ST  (1200 N),150689.86,Street Resurfacing
1,2024,Street Resurfacing Menu,ON W ERIE ST FROM N PAULINA ST  (1700 W) TO N WOOD ST  (1800 W),75102.45,Street Resurfacing
1,2024,Street Resurfacing Menu,ON W LE MOYNE ST FROM N CAMPBELL AVE  (2500 W) TO N MAPLEWOOD AVE  (2540 W),13319.57,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N ARTESIAN AVE FROM W LE MOYNE ST  (1500 N) TO W NORTH AVE  (1600 N),4880.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N FRANCISCO AVE FROM W SCHUBERT AVE  (2700 N) TO W DIVERSEY AVE  (2800 N),4880.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N HERMITAGE AVE FROM W CHICAGO AVE  (800 N) TO W AUGUSTA BLVD  (1000 N),7320.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N OAKLEY AVE FROM W LE MOYNE ST  (1500 N) TO W NORTH AVE  (1600 N),4880.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N STAVE ST FROM W ARMITAGE AVE  (2000 N) TO N CALIFORNIA AVE  (2160 N),12200.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON N TALMAN AVE FROM W FULLERTON AVE  (2400 N) TO W LOGAN BLVD  (2600 N),9760.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W BEACH AVE FROM N ASHLAND AVE  (1600 W) TO N WOOD ST  (1800 W),9760.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W CORTEZ ST FROM N DAMEN AVE  (2000 W) TO N LEAVITT ST  (2200 W),9760.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W CORTLAND ST FROM N ROCKWELL ST  (2600 W) TO N CALIFORNIA AVE  (2800 W),9760.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W DICKENS AVE FROM N CALIFORNIA AVE  (2800 W) TO N HUMBOLDT BLVD E (3000 W),7320.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W ERIE ST FROM N PAULINA ST  (1700 W) TO N WOOD ST  (1800 W),4880.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W LE MOYNE ST FROM N WESTERN AVE  (2400 W) TO N MAPLEWOOD AVE  (2540 W),7320.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W LYNDALE ST FROM N WESTERN AVE  (2400 W) TO N CAMPBELL AVE  (2500 W),2440.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W MEDILL AVE FROM N MILWAUKEE AVE  (2840 W) TO N SACRAMENTO AVE  (3000 W),2440.0,Street Resurfacing
1,2024,Street Speed Hump Menu,ON W THOMAS ST FROM N DAMEN AVE  (2000 W) TO N LEAVITT ST  (2200 W),9760.0,Street Resurfacing
1,2024,Street Speed Hump Replacement,ON N BELL AVE FROM W LE MOYNE ST  (1500 N) TO W NORTH AVE  (1600 N); 1501-1599 N BELL AVE,0.0,Street Resurfacing
1,2024,Street Traffic Circle Menu,N ROCKWELL ST &  W CORTLAND ST,18365.38,Street Redesign
2,2024,Alley Resurfacing Menu,N CLARK ST &  W SCHILLER ST&W BURTON PL &  N DEARBORN ST,27810.45,Alleys
2,2024,Alley Resurfacing Menu,N HUDSON AVE &  W NORTH AVE&W BLACKHAWK ST &  N SEDGWICK ST,38625.63,Alleys
2,2024,Alley Resurfacing Menu,N MAGNOLIA AVE &  W WEBSTER AVE&W BELDEN AVE &  N RACINE AVE,40370.34,Alleys
2,2024,Alley Resurfacing Menu,N WELLS ST &  W GOETHE ST&W SCHILLER ST &  N LA SALLE DR,34499.24,Alleys
2,2024,Alley Speed Hump Menu,E ONTARIO ST &  N ST CLAIR ST&N FAIRBANKS CT &  E OHIO ST,2175.0,Alleys
2,2024,Alley Speed Hump Menu,N GREENVIEW AVE &  N CLYBOURN AVE&N JANSSEN AVE &  W BELDEN AVE,2175.0,Alleys
2,2024,Alley Speed Hump Menu,W FULLERTON AVE &  N JANSSEN AVE&N SOUTHPORT AVE &  W BELDEN AVE; 1425 W FULLERTON AVE,2900.0,Alleys
2,2024,Arterial Street Bump Outs Menu,N SOUTHPORT AVE &  W BELDEN AVE,400000.0,Pedestrian Infrastructure
2,2024,Concrete Alley Menu,N LARRABEE ST &  W NORTH AVE&W BLACKHAWK ST &  N MOHAWK ST,61080.84,Alleys
2,2024,Curb & Gutter Menu,161 W BURTON PL,4174.37,Street Resurfacing
2,2024,Curb & Gutter Menu,745 N FAIRBANKS CT; ON N FAIRBANKS CT FROM E SUPERIOR ST  (732 N) TO E CHICAGO AVE  (800 N),12676.67,Street Resurfacing
2,2024,Curb & Gutter Menu,ON E HURON ST FROM N MCCLURG CT  (400 E) TO N LAKE SHORE DR  (500 E),58975.44,Street Resurfacing
2,2024,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",N HALSTED ST &  W BLACKHAWK ST,350.0,Pedestrian Infrastructure
2,2024,Miscellaneous CDOT Projects,N LA SALLE DR &  W BURTON PL,105000.0,Misc. CDOT
2,2024,Miscellaneous CDOT Projects,N LA SALLE DR &  W DELAWARE PL,120000.0,Misc. CDOT
2,2024,Miscellaneous CDOT Projects,ON W FULLERTON AVE FROM N JANSSEN AVE  (1430 W) TO N GREENVIEW AVE  (1500 W),4773.0,Misc. CDOT
2,2024,Sidewalk Menu,1250 N LA SALLE DR,23843.94,Sidewalk Repair
2,2024,Sidewalk Menu,1339 N DEARBORN ST,20115.81,Sidewalk Repair
2,2024,Sidewalk Menu,1554 N DEARBORN PKWY,12840.21,Sidewalk Repair
2,2024,Sidewalk Menu,2210 N SOUTHPORT AVE,21667.54,Sidewalk Repair
2,2024,Sidewalk Menu,W WEBSTER AVE &  N WAYNE AVE,31223.69,Sidewalk Repair
2,2024,Street Light Pole Painting Menu,ON N DEARBORN ST FROM W GOETHE ST  (1300 N) TO W SCHILLER ST  (1400 N),1800.0,Lighting
2,2024,Street Resurfacing Menu,ON E DELAWARE PL FROM N MICHIGAN AVE  (150 E) TO N LAKE SHORE DR  (300 E),156618.88,Street Resurfacing
2,2024,Street Resurfacing Menu,ON E LAKE SHORE DR FROM N LAKE SHORE DR RAMP  (330 N) TO N MICHIGAN AVE  (1000 N),55540.08,Street Resurfacing
2,2024,Street Resurfacing Menu,ON N MCCLURG CT FROM E OHIO ST  (600 N) TO E ERIE ST  (660 N),47031.91,Street Resurfacing
2,2024,Street Resurfacing Menu,ON N NORTH PARK AVE FROM W NORTH AVE  (1600 N) TO W EUGENIE ST  (1700 N),21704.35,Street Resurfacing
2,2024,Street Speed Hump Menu,ON N LAKEWOOD AVE FROM W BELDEN AVE  (2300 N) TO W FULLERTON AVE  (2400 N),2440.0,Street Resurfacing
2,2024,Street Speed Hump Menu,ON W CHESTNUT ST FROM N WELLS ST  (200 W) TO N FRANKLIN ST  (300 W),2440.0,Street Resurfacing
2,2024,Street Speed Hump Menu,ON W INSTITUTE PL FROM N WELLS ST  (200 W) TO N FRANKLIN ST  (300 W),2440.0,Street Resurfacing
3,2024,Alley Resurfacing Menu,E 44TH PL &  S VINCENNES AVE&E 45TH ST &  S ST LAWRENCE AVE,57146.97,Alleys
3,2024,Alley Resurfacing Menu,E 44TH ST &  S VINCENNES AVE; E 44TH ST &  S DR MARTIN LUTHER KING JR DR E; 436 E 44TH ST,50182.41,Alleys
3,2024,Alley Resurfacing Menu,S CALUMET AVE &  E 42ND ST&E 43RD ST &  S DR MARTIN LUTHER KING JR DR,46904.63,Alleys
3,2024,Alley Resurfacing Menu,S INDIANA AVE &  E 21ST ST&E CULLERTON ST &  S PRAIRIE AVE,17335.18,Alleys
3,2024,Alley Resurfacing Menu,S INDIANA AVE &  E 50TH ST&E 51ST ST &  S PRAIRIE AVE,31425.81,Alleys
3,2024,Alley Resurfacing Menu,S MICHIGAN AVE &  E 40TH ST&E PERSHING RD &  S INDIANA AVE,45297.8,Alleys
3,2024,Alley Resurfacing Menu,S STATE ST &  W 43RD ST&E 44TH ST &  S WABASH AVE,67066.03,Alleys
3,2024,Alley Resurfacing Menu,S VINCENNES AVE &  E 46TH PL&E 47TH ST &  S ST LAWRENCE AVE,44617.99,Alleys
3,2024,Alley Speed Hump Menu,E 16TH ST &  S MICHIGAN AVE&S INDIANA AVE &  E 18TH ST,2175.0,Alleys
3,2024,Alley Speed Hump Replacement,S CALUMET AVE &  E 42ND ST&E 43RD ST &  S DR MARTIN LUTHER KING JR DR,0.0,Alleys
3,2024,Arterial Street Bump Outs Menu,S INDIANA AVE &  E 14TH ST; ON S INDIANA AVE FROM E 14TH ST  (1400 S) TO E 15TH PL (1527 S),130000.0,Pedestrian Infrastructure
3,2024,Arterial Street Bump Outs Menu,S STATE ST &  E 14TH PL,28059.35,Pedestrian Infrastructure
3,2024,Curb & Gutter Menu,3800-3814 S DR MARTIN LUTHER KING JR DR,34004.2,Street Resurfacing
3,2024,Installation of Accessible Pedestrian Signals (APS) at S. Dr. Martin Luther King Jr. Dr. & E. 41st ST.,S DR MARTIN LUTHER KING JR DR &  E 41ST ST,76277.0,Pedestrian Infrastructure
3,2024,Miscellaneous CDOT Projects,5327 S PRAIRIE AVE,150.0,Misc. CDOT
3,2024,Pavement Markings Menu,S INDIANA AVE &  E 14TH ST; ON S INDIANA AVE FROM E 14TH ST  (1400 S) TO E 15TH PL (1527 S),4000.0,Street Redesign
3,2024,Sidewalk Menu,1310 S WABASH AVE,17451.31,Sidewalk Repair
3,2024,Sidewalk Menu,3330 S INDIANA AVE,8519.87,Sidewalk Repair
3,2024,Sidewalk Menu,4918 S INDIANA AVE; 4948 S INDIANA AVE; 4938 S INDIANA AVE,15984.4,Sidewalk Repair
3,2024,Sidewalk Menu,4938 S DR MARTIN LUTHER KING JR DR,3323.41,Sidewalk Repair
3,2024,Sidewalk Menu,ON S DR MARTIN LUTHER KING JR DR E FROM E 45TH ST  (4500 S) TO E 45TH PL  (4530 S),40557.73,Sidewalk Repair
3,2024,Speed Indicator Signs,ON S INDIANA AVE FROM E 14TH ST  (1400 S) TO E 15TH PL  (1527 S),28000.0,Traffic Signals
3,2024,Street Bump Outs Menu,W 16TH ST &  S DEARBORN ST,32000.0,Pedestrian Infrastructure
3,2024,Street Resurfacing Menu,3800-3814 S DR MARTIN LUTHER KING JR DR,11743.8,Street Resurfacing
3,2024,Street Resurfacing Menu,ON E 29TH ST FROM S STATE ST  (0 E) TO S MICHIGAN AVE  (100 E),82088.75,Street Resurfacing
3,2024,Street Resurfacing Menu,ON E 44TH PL FROM S VINCENNES AVE  (500 E) TO S ST LAWRENCE AVE  (600 E),52948.69,Street Resurfacing
3,2024,Street Resurfacing Menu,ON E 44TH ST FROM S STATE ST  (1 W) TO S INDIANA AVE  (200 E),67116.15,Street Resurfacing
3,2024,Street Resurfacing Menu,ON S CALUMET AVE FROM E 35TH ST  (3500 S) TO E 37TH ST  (3700 S),114792.51,Street Resurfacing
3,2024,Street Resurfacing Menu,ON S CHAMPLAIN AVE FROM E 45TH ST  (4500 S) TO E 46TH ST  (4600 S),30623.88,Street Resurfacing
3,2024,Street Resurfacing Menu,ON S VINCENNES AVE FROM E 47TH ST  (4699 S) TO E 49TH ST  (4899 S),152408.58,Street Resurfacing
3,2024,Street Resurfacing Menu,ON W 17TH ST FROM S STATE ST  (0 E) TO S CLARK ST  (120 W),84183.08,Street Resurfacing
3,2024,Street Resurfacing Menu,ON W 19TH ST FROM 12 W TO S CLARK ST  (120 W),88334.35,Street Resurfacing
3,2024,Street Speed Hump Replacement,ON S CALUMET AVE FROM E 35TH ST  (3500 S) TO E 37TH ST  (3700 S),0.0,Street Resurfacing
3,2024,Street Traffic Circle Menu,W 46TH ST &  S PRINCETON AVE,35000.0,Street Redesign
3,2024,Viaduct Improvement Menu,1178 S PLYMOUTH CT,281.11,Viaducts
4,2024,Alley Resurfacing Menu,S ELLIS AVE &  E 45TH ST&E 46TH ST &  S GREENWOOD AVE,23218.24,Alleys
4,2024,Alley Speed Hump Replacement,S ELLIS AVE &  E 45TH ST&E 46TH ST &  S GREENWOOD AVE,0.0,Alleys
4,2024,Arterial Street Bump Outs Menu,E 43RD ST &  S BERKELEY AVE,54641.69,Pedestrian Infrastructure
4,2024,Concrete Alley Menu,E 42ND PL &  S ST LAWRENCE AVE&S VINCENNES AVE &  E 43RD ST,548000.0,Alleys
4,2024,Concrete Alley Menu,S CHAMPLAIN AVE &  E 49TH ST&E 50TH PL &  S ST LAWRENCE AVE,7685.7,Alleys
4,2024,Concrete Alley Menu,S ELLIS AVE &  E 45TH ST&E 46TH ST &  S GREENWOOD AVE,266000.0,Alleys
4,2024,Curb & Gutter Menu,4830-4832 S DORCHESTER AVE,11331.57,Street Resurfacing
4,2024,Miscellaneous CDOT Projects,4210-4212 S CHAMPLAIN AVE,600.0,Misc. CDOT
4,2024,Miscellaneous CDOT Projects,4620 S LANGLEY AVE,150.0,Misc. CDOT
4,2024,Pavement Markings Menu,ON E 43RD ST FROM S DREXEL BLVD  (900 E) TO S GREENWOOD AVE  (1100 E),3750.0,Street Redesign
4,2024,Pavement Markings Menu,ON S COLUMBUS DR FROM E BALBO DR  (700 S) TO E ROOSEVELT DR  (1200 S),15000.0,Street Redesign
4,2024,Sidewalk Menu,4808 S EVANS AVE,5324.91,Sidewalk Repair
4,2024,Sidewalk Menu,E 8TH ST &  S STATE ST,28140.59,Sidewalk Repair
4,2024,Sidewalk Menu,ON E 48TH ST FROM S WOODLAWN AVE  (1200 E) TO S KIMBARK AVE  (1300 E),1988.56,Sidewalk Repair
4,2024,Street Bump Outs Menu,E 48TH ST &  S DORCHESTER AVE,26626.81,Pedestrian Infrastructure
4,2024,Street Bump Outs Menu,E HYDE PARK BLVD &  S UNIVERSITY AVE,5620.0,Pedestrian Infrastructure
4,2024,Street Cul-de-Sac Menu,4950 S GREENWOOD AVE; S GREENWOOD AVE &  E HYDE PARK BLVD,5481.9,Street Redesign
4,2024,Street Light Upgrade Menu,640 E OAKWOOD BLVD,500.0,Lighting
4,2024,Street Light Upgrade Menu,713 E 43RD ST,500.0,Lighting
4,2024,Street Resurfacing Menu,ON S CHAMPLAIN AVE FROM E 45TH ST  (4500 S) TO E 46TH ST  (4600 S),30623.88,Street Resurfacing
4,2024,Street Resurfacing Menu,ON S HOLDEN CT FROM E 8TH ST  (800 S) TO E 11TH ST  (1100 S),88379.74,Street Resurfacing
4,2024,Street Resurfacing Menu,ON S OAKENWALD AVE FROM E 43RD ST  (4300 S) TO E 44TH PL  (4430 S),102427.76,Street Resurfacing
4,2024,Street Resurfacing Menu,ON S PARK TER FROM 1199 S TO W 9TH ST  (900 S),82002.05,Street Resurfacing
4,2024,Street Resurfacing Menu,ON S PLYMOUTH CT FROM 1178 S TO W 9TH ST  (900 S),48672.61,Street Resurfacing
4,2024,Street Resurfacing Menu,ON S PLYMOUTH CT FROM 840 S TO W POLK ST  (800 S),26975.29,Street Resurfacing
4,2024,Street Speed Hump Menu,ON S INDIANA AVE FROM E 29TH ST  (2900 S) TO E 31ST ST  (3100 S),12200.0,Street Resurfacing
4,2024,Street Speed Hump Menu,ON S LAKE PARK AVE FROM E 44TH PL  (4440 S) TO E 47TH ST  (4699 S),5790.75,Street Resurfacing
4,2024,Street Speed Hump Menu,ON S RHODES AVE FROM E 31ST ST  (3100 S) TO E 33RD ST  (3300 S),12200.0,Street Resurfacing
4,2024,Street Speed Hump Replacement,ON S HOLDEN CT FROM E 8TH ST  (800 S) TO E 11TH ST  (1100 S),0.0,Street Resurfacing
4,2024,Street Speed Hump Replacement,ON S OAKENWALD AVE FROM E 43RD ST  (4300 S) TO E 44TH PL  (4430 S),0.0,Street Resurfacing
4,2024,Street Speed Hump Replacement,ON S PARK TER FROM 1199 S TO W 9TH ST  (900 S),0.0,Street Resurfacing
5,2024,Alley Resurfacing Menu,E 70TH ST &  S KIMBARK AVE&S WOODLAWN AVE &  E 71ST ST,18956.29,Alleys
5,2024,Alley Resurfacing Menu,S OGLESBY AVE &  E 72ND ST&E 73RD ST &  S CRANDON AVE,38052.8,Alleys
5,2024,Alley Resurfacing Menu,S WOODLAWN AVE &  E 55TH ST&E 56TH ST &  S KIMBARK AVE,40634.16,Alleys
5,2024,Installation of two concrete pads at Promontory Point for two additional bike racks.,5491 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR NB,15000.0,Bicycle Infrastructure
5,2024,Miscellaneous CDOT Projects,1558 E 68TH ST,660.0,Misc. CDOT
5,2024,Pavement Markings Menu,ON E HYDE PARK BLVD FROM S INGLESIDE AVE  (920 E) TO S WOODLAWN AVE  (1200 E),2500.0,Street Redesign
5,2024,Sidewalk Menu,ON E 73RD ST FROM 1148 E TO S UNIVERSITY AVE  (1130 E),21749.24,Sidewalk Repair
5,2024,Street Bump Outs Menu,E HYDE PARK BLVD &  S UNIVERSITY AVE,15152.86,Pedestrian Infrastructure
5,2024,Street Light Residential Staggered Piggy Back Menu,ON S MERRILL AVE FROM E 69TH ST  (6900 S) TO E 71ST ST  (7100 S),161478.0,Lighting
5,2024,Street Light Residential Staggered Piggy Back Menu,ON S UNIVERSITY AVE FROM E 73RD ST  (7300 S) TO E 74TH ST  (7400 S); ON E 74TH ST FROM S SOUTH CHICAGO AVE  (1100 E) TO S WOODLAWN AVE  (1199 E),170500.0,Lighting
5,2024,Street Resurfacing Menu,ON E 65TH ST FROM S BLACKSTONE AVE  (1500 E) TO S STONY ISLAND AVE  (1600 E),56391.64,Street Resurfacing
5,2024,Street Resurfacing Menu,ON E 66TH PL FROM S BLACKSTONE AVE  (1500 E) TO S STONY ISLAND AVE  (1600 E),63477.51,Street Resurfacing
5,2024,Street Resurfacing Menu,ON E 72ND PL FROM S EUCLID AVE  (1930 E) TO S MERRILL AVE  (2130 E),134783.03,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S DANTE AVE FROM E 69TH ST  (6900 S) TO E 70TH ST  (7000 S),82218.05,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S EAST END AVE FROM E 70TH ST  (7000 S) TO E 71ST ST  (7100 S),54281.74,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S ELLIS AVE FROM E 53RD ST  (5300 S) TO E 54TH ST  (5400 S),47767.63,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S EUCLID AVE FROM E 69TH ST  (6900 S) TO E 70TH ST  (7000 S),46775.45,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S GREENWOOD AVE FROM E 53RD ST  (5300 S) TO E 55TH ST  (5500 S),165172.14,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S GREENWOOD AVE FROM E 74TH ST  (7399 S) TO E 75TH ST  (7470 S),50561.01,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S HARPER AVE FROM E 57TH ST  (5700 S) TO E 59TH ST  (5900 S),109291.87,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S HARPER AVE FROM E 69TH ST  (6900 S) TO E 69TH PL  (6930 S),41063.85,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S OGLESBY AVE FROM 7100 S TO E 72ND ST  (7200 S),42130.88,Street Resurfacing
5,2024,Street Resurfacing Menu,ON S OGLESBY AVE FROM E 68TH ST  (6800 S) TO E 69TH ST  (6900 S),54483.27,Street Resurfacing
5,2024,Street Resurfacing Menu,ON W 65TH PL FROM S BLACKSTONE AVE  (1500 E) TO S STONY ISLAND AVE  (1600 E),41778.57,Street Resurfacing
5,2024,Street Speed Hump Menu,5400 S RIDGEWOOD CT,7320.0,Street Resurfacing
5,2024,Street Speed Hump Menu,ON S BLACKSTONE AVE FROM E 58TH ST  (5800 S) TO E 59TH ST  (5900 S),4880.0,Street Resurfacing
5,2024,Street Speed Hump Menu,ON S HARPER AVE FROM E 56TH ST  (5600 S) TO E 57TH ST  (5700 S),7320.0,Street Resurfacing
5,2024,Street Speed Hump Replacement,ON E 66TH PL FROM S BLACKSTONE AVE  (1500 E) TO S STONY ISLAND AVE  (1600 E),0.0,Street Resurfacing
5,2024,Street Speed Hump Replacement,ON E 72ND PL FROM S EUCLID AVE  (1930 E) TO S MERRILL AVE  (2130 E),0.0,Street Resurfacing
5,2024,Street Speed Hump Replacement,ON S DANTE AVE FROM E 69TH ST  (6900 S) TO E 70TH ST  (7000 S),0.0,Street Resurfacing
5,2024,Street Speed Hump Replacement,ON S HARPER AVE FROM E 57TH ST  (5700 S) TO E 59TH ST  (5900 S),0.0,Street Resurfacing
5,2024,Street Speed Hump Replacement,ON S HARPER AVE FROM E 69TH ST  (6900 S) TO E 69TH PL  (6930 S),0.0,Street Resurfacing
6,2024,Curb & Gutter Menu,ON S DREXEL AVE FROM E 73RD ST  (7300 S) TO E 75TH ST  (7500 S),13150.84,Street Resurfacing
6,2024,Curb & Gutter Menu,ON S PRAIRIE AVE FROM E 82ND ST  (8200 S) TO E 84TH ST  (8400 S),4373.5,Street Resurfacing
6,2024,Miscellaneous CDOT Projects,311 E 75TH ST,660.0,Misc. CDOT
6,2024,Miscellaneous CDOT Projects,532 E 79TH ST,660.0,Misc. CDOT
6,2024,Miscellaneous CDOT Projects,8216 S VINCENNES AVE,660.0,Misc. CDOT
6,2024,Sidewalk Menu,6931 S SOUTH CHICAGO AVE,5137.72,Sidewalk Repair
6,2024,Sidewalk Menu,7835 S CALUMET AVE,9142.41,Sidewalk Repair
6,2024,Sidewalk Menu,8101 S STEWART AVE,22165.71,Sidewalk Repair
6,2024,Speed Indicator Signs,ON S COTTAGE GROVE AVE FROM E 77TH ST  (7700 S) TO E 78TH ST  (7800 S),15500.0,Traffic Signals
6,2024,Speed Indicator Signs,ON S HALSTED ST FROM W 81ST ST  (8100 S) TO W 82ND ST  (8200 S),15500.0,Traffic Signals
6,2024,Speed Indicator Signs,ON S WENTWORTH AVE FROM W 71ST ST  (7100 S) TO W 72ND ST  (7200 S),15500.0,Traffic Signals
6,2024,Street Bump Outs Menu,S ST LAWRENCE AVE &  E 75TH ST,15753.91,Pedestrian Infrastructure
6,2024,Street Cul-de-Sac Menu,8800 S STATE ST,300000.0,Street Redesign
6,2024,Street Light Upgrade Menu,7228 S WABASH AVE,500.0,Lighting
6,2024,Street Light Upgrade Menu,7938 S VERNON AVE,500.0,Lighting
6,2024,Street Light Upgrade Menu,9110 S INDIANA AVE,500.0,Lighting
6,2024,Street Light Upgrade Menu,9234 S MICHIGAN AVE; 9240 S MICHIGAN AVE,1000.0,Lighting
6,2024,Street Light Upgrade Menu,E 84TH ST &  S STATE ST&S WABASH AVE &  E 85TH ST,287.31,Lighting
6,2024,Street Resurfacing Menu,ON E 81ST ST FROM S PERRY AVE  (100 W) TO S HARVARD AVE  (330 W),153184.35,Street Resurfacing
6,2024,Street Resurfacing Menu,ON E 85TH ST FROM S MICHIGAN AVE  (100 E) TO S WABASH AVE  (50 E),58919.47,Street Resurfacing
6,2024,Street Resurfacing Menu,ON E 89TH ST FROM S CALUMET AVE  (340 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),46104.02,Street Resurfacing
6,2024,Street Resurfacing Menu,ON E 91ST ST FROM S PRAIRIE AVE  (300 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),94657.42,Street Resurfacing
6,2024,Street Resurfacing Menu,ON S DREXEL AVE FROM E 73RD ST  (7300 S) TO E 75TH ST  (7500 S),164787.66,Street Resurfacing
6,2024,Street Resurfacing Menu,ON S LANGLEY AVE FROM E 75TH ST  (7500 S) TO E 76TH ST  (7600 S),59511.71,Street Resurfacing
6,2024,Street Resurfacing Menu,ON S VERNON AVE FROM E 72ND ST  (7200 S) TO E 74TH ST  (7400 S),117026.83,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 69TH ST FROM S SOUTH CHICAGO AVE  (600 E) TO S COTTAGE GROVE AVE  (800 E),9760.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 72ND ST FROM S STATE ST  (0 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),14640.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 73RD ST FROM S MICHIGAN AVE  (100 E) TO S COTTAGE GROVE AVE  (800 E),29280.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 78TH ST FROM S PRAIRIE AVE  (300 E) TO S CALUMET AVE  (340 E),2440.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 84TH ST FROM S CALUMET AVE  (340 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),2440.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 84TH ST FROM S MICHIGAN AVE  (100 E) TO S PRAIRIE AVE  (300 E),4880.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 84TH ST FROM S VERNON AVE  (440 E) TO S ST LAWRENCE AVE  (599 E),4880.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 85TH ST FROM S INDIANA AVE  (200 E) TO S PRAIRIE AVE  (300 E),2440.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 85TH ST FROM S MICHIGAN AVE  (100 E) TO S WABASH AVE  (50 E),2440.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 86TH ST FROM S STATE ST  (0 E) TO S ST LAWRENCE AVE  (600 E),21960.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 90TH ST FROM S PRAIRIE AVE  (300 E) TO S CALUMET AVE  (340 E),2440.0,Street Resurfacing
6,2024,Street Speed Hump Menu,ON E 91ST ST FROM S PRAIRIE AVE  (300 E) TO S DR MARTIN LUTHER KING JR DR  (400 E),4880.0,Street Resurfacing
